GEOID,name,total_population_19,white_alone_19,black_alone_19,native_alone_19,asian_alone_19,native_hawaiian_pacific_islander_19,hispanic_or_latino_19,city,gentrified,pct_white_alone_change,pct_black_alone_change,pct_native_alone_change,pct_asian_alone_change,pct_hispanic_or_latino_change,pct_native_hawaiian_pacific_islander_change,INTPTLAT,INTPTLON
47037010103,"Census Tract 101.03, Davidson County, Tennessee",2533.0,2441.0,7.0,8.0,16.0,0.0,16.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,1.708,-3.117,-0.417,0.257,-0.118,0.0,+36.3444054,-086.8608396
47037010104,"Census Tract 101.04, Davidson County, Tennessee",2955.0,2713.0,167.0,16.0,16.0,3.0,0.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-2.848,2.256,-0.192,0.166,-0.75,0.102,+36.2918321,-086.8763469
47037010105,"Census Tract 101.05, Davidson County, Tennessee",4435.0,949.0,3284.0,0.0,0.0,0.0,112.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-5.016,2.04,-0.362,-0.378,1.785,0.0,+36.2504208,-086.8521501
47037010106,"Census Tract 101.06, Davidson County, Tennessee",3397.0,1009.0,2192.0,0.0,13.0,0.0,147.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,3.296,-7.486,-0.362,0.005,3.587,0.0,+36.2610013,-086.8023491
47037010201,"Census Tract 102.01, Davidson County, Tennessee",4157.0,1870.0,1720.0,28.0,39.0,0.0,486.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-39.148,27.813,0.053,0.182,10.917,0.0,+36.2882537,-086.7728157
47037010202,"Census Tract 102.02, Davidson County, Tennessee",3962.0,3391.0,186.0,0.0,50.0,0.0,215.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,1.532,-8.941,-0.62,0.503,4.653,0.0,+36.3619781,-086.7746355
47037010301,"Census Tract 103.01, Davidson County, Tennessee",3395.0,1768.0,1158.0,0.0,311.0,0.0,109.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-35.559,24.381,-0.596,8.439,2.113,0.0,+36.3161492,-086.7261435
47037010401,"Census Tract 104.01, Davidson County, Tennessee",5014.0,2008.0,1333.0,0.0,48.0,0.0,1424.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-33.052,12.296,-1.106,-0.442,18.733,0.0,+36.2943965,-086.6864670
47037010402,"Census Tract 104.02, Davidson County, Tennessee",6701.0,2682.0,2639.0,0.0,0.0,0.0,1253.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-29.866,19.118,-0.785,-0.56,10.883,0.0,+36.2680641,-086.6963347
47037010501,"Census Tract 105.01, Davidson County, Tennessee",5240.0,3913.0,501.0,0.0,57.0,0.0,418.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-18.792,5.76,-0.611,0.821,6.392,0.0,+36.2749497,-086.6559244
47037010502,"Census Tract 105.02, Davidson County, Tennessee",5726.0,4127.0,967.0,0.0,5.0,0.0,509.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-13.904,6.904,-0.677,-0.963,6.672,0.0,+36.2251827,-086.6369451
47037010601,"Census Tract 106.01, Davidson County, Tennessee",5365.0,2144.0,2191.0,88.0,153.0,0.0,683.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-32.035,20.986,0.89,1.391,7.017,0.0,+36.2245500,-086.6618465
47037010602,"Census Tract 106.02, Davidson County, Tennessee",4125.0,1441.0,1628.0,68.0,16.0,11.0,794.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-37.065,19.614,0.898,-1.073,13.534,0.267,+36.2533653,-086.6817552
47037010701,"Census Tract 107.01, Davidson County, Tennessee",4092.0,1757.0,1637.0,0.0,0.0,0.0,617.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-33.532,25.171,-1.209,-0.664,8.538,0.0,+36.2583824,-086.7061921
47037010702,"Census Tract 107.02, Davidson County, Tennessee",3066.0,1356.0,1059.0,0.0,0.0,0.0,588.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-18.502,10.975,-0.962,-2.435,9.379,0.0,+36.2426141,-086.7159875
47037010801,"Census Tract 108.01, Davidson County, Tennessee",5463.0,2050.0,1929.0,52.0,183.0,0.0,956.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-29.671,7.938,0.646,1.342,14.726,0.0,+36.2770642,-086.7247557
47037010802,"Census Tract 108.02, Davidson County, Tennessee",3685.0,2157.0,1112.0,0.0,115.0,0.0,274.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-22.989,15.593,-0.297,1.735,5.522,0.0,+36.2509911,-086.7318719
47037010901,"Census Tract 109.01, Davidson County, Tennessee",3335.0,1543.0,1155.0,0.0,23.0,0.0,559.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-20.636,6.771,-0.439,-0.087,13.216,0.0,+36.2652178,-086.7586113
47037010903,"Census Tract 109.03, Davidson County, Tennessee",5863.0,401.0,4727.0,0.0,14.0,0.0,554.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-7.719,-2.398,-0.183,-0.615,8.168,0.0,+36.2493286,-086.7638228
47037010904,"Census Tract 109.04, Davidson County, Tennessee",3213.0,513.0,2624.0,0.0,14.0,0.0,51.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,4.998,-6.121,-0.329,0.143,1.513,0.0,+36.2343173,-086.7732109
47037011001,"Census Tract 110.01, Davidson County, Tennessee",6746.0,1613.0,3561.0,22.0,79.0,0.0,1307.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-16.133,0.711,-0.32,-0.705,14.394,0.0,+36.2227283,-086.7535929
47037011002,"Census Tract 110.02, Davidson County, Tennessee",2553.0,1209.0,1172.0,0.0,67.0,0.0,13.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,-17.722,14.654,-0.548,1.317,-1.262,0.0,+36.2250503,-086.7398861
47037011100,"Census Tract 111, Davidson County, Tennessee",4037.0,3596.0,318.0,0.0,13.0,0.0,102.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,2.191,-0.498,-0.782,-1.076,0.584,0.0,+36.2251788,-086.7223685
47037011200,"Census Tract 112, Davidson County, Tennessee",4068.0,2998.0,651.0,0.0,79.0,0.0,130.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,0.501,-5.672,-1.18,0.694,0.631,0.0,+36.2111446,-086.7293489
47037011300,"Census Tract 113, Davidson County, Tennessee",5643.0,1840.0,1972.0,0.0,200.0,0.0,1597.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,-12.456,-9.528,-1.106,2.311,20.485,0.0,+36.2021926,-086.7607870
47037011400,"Census Tract 114, Davidson County, Tennessee",4617.0,1843.0,2478.0,0.0,0.0,61.0,233.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,11.081,-14.171,-0.413,-0.582,3.227,1.321,+36.1985212,-086.7337810
47037011500,"Census Tract 115, Davidson County, Tennessee",3631.0,2879.0,625.0,0.0,0.0,0.0,95.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,4.582,-4.805,-0.598,-1.339,1.564,-0.024,+36.2018066,-086.7127035
47037011600,"Census Tract 116, Davidson County, Tennessee",4998.0,3606.0,1194.0,19.0,29.0,0.0,68.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,8.363,-7.417,-0.336,-1.18,-0.894,0.0,+36.1834914,-086.7119395
47037011700,"Census Tract 117, Davidson County, Tennessee",5971.0,3998.0,1434.0,6.0,29.0,0.0,154.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,19.189,-21.449,-0.645,-0.518,-1.951,-0.032,+36.1895943,-086.7439428
47037011800,"Census Tract 118, Davidson County, Tennessee",2700.0,867.0,1744.0,24.0,42.0,0.0,23.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,26.25,-26.044,0.597,1.24,-1.556,0.0,+36.1860169,-086.7643707
47037011900,"Census Tract 119, Davidson County, Tennessee",2530.0,987.0,1323.0,0.0,12.0,0.0,164.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,31.354,-32.311,-0.324,-0.012,0.242,0.0,+36.1790862,-086.7590621
47037012100,"Census Tract 121, Davidson County, Tennessee",2525.0,2284.0,17.0,10.0,45.0,0.0,105.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,13.962,-17.162,-0.201,0.26,1.238,-0.037,+36.1804660,-086.7382659
47037012200,"Census Tract 122, Davidson County, Tennessee",2100.0,1930.0,24.0,8.0,17.0,0.0,89.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,21.809,-22.063,-0.416,-0.027,-0.108,0.0,+36.1701681,-086.7366579
47037012600,"Census Tract 126, Davidson County, Tennessee",2205.0,753.0,1246.0,6.0,8.0,0.0,88.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,17.371,-24.309,-0.064,-0.42,2.817,0.0,+36.1871076,-086.7719860
47037012701,"Census Tract 127.01, Davidson County, Tennessee",6072.0,679.0,5220.0,16.0,0.0,0.0,68.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,6.593,-8.227,0.15,-0.323,0.474,0.0,+36.2222364,-086.7917569
47037012702,"Census Tract 127.02, Davidson County, Tennessee",2908.0,357.0,2462.0,0.0,0.0,0.0,35.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-4.109,3.357,-0.488,-1.199,0.76,0.0,+36.2054178,-086.7959672
47037012801,"Census Tract 128.01, Davidson County, Tennessee",5616.0,529.0,4564.0,0.0,0.0,0.0,182.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-5.649,-1.599,-0.154,-0.232,1.659,0.0,+36.2168400,-086.8289333
47037012802,"Census Tract 128.02, Davidson County, Tennessee",4363.0,1105.0,3060.0,0.0,0.0,0.0,188.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-2.652,0.444,-0.555,-0.732,3.532,0.0,+36.1886310,-086.8514560
47037013000,"Census Tract 130, Davidson County, Tennessee",877.0,492.0,321.0,0.0,0.0,24.0,40.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,6.66,-11.627,-1.164,-0.194,3.589,2.698,+36.1790422,-086.8834540
47037013100,"Census Tract 131, Davidson County, Tennessee",2448.0,1464.0,733.0,0.0,179.0,0.0,21.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-25.171,19.588,-2.251,6.187,-0.155,0.0,+36.2131426,-086.9297320
47037013201,"Census Tract 132.01, Davidson County, Tennessee",2934.0,2147.0,166.0,4.0,468.0,0.0,118.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-8.172,-1.613,-0.552,8.174,1.733,-0.064,+36.1496854,-086.8826046
47037013202,"Census Tract 132.02, Davidson County, Tennessee",3330.0,2477.0,258.0,0.0,149.0,0.0,374.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,-6.955,0.476,-0.689,-3.311,8.94,-0.064,+36.1602781,-086.8703605
47037013300,"Census Tract 133, Davidson County, Tennessee",3997.0,3117.0,226.0,0.0,118.0,0.0,499.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,9.335,-6.04,-1.102,0.748,-3.317,0.0,+36.1597942,-086.8530466
47037013400,"Census Tract 134, Davidson County, Tennessee",4500.0,4019.0,17.0,0.0,229.0,0.0,117.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-5.168,-1.713,-0.53,3.889,1.123,0.0,+36.1446942,-086.8426732
47037013500,"Census Tract 135, Davidson County, Tennessee",2364.0,1711.0,421.0,0.0,5.0,0.0,70.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,31.21,-34.441,-0.737,-2.871,0.613,0.0,+36.1503130,-086.8286254
47037013601,"Census Tract 136.01, Davidson County, Tennessee",3320.0,287.0,2847.0,0.0,42.0,0.0,68.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,6.969,-11.113,-0.19,0.842,1.377,-0.029,+36.1606800,-086.8360845
47037013602,"Census Tract 136.02, Davidson County, Tennessee",1818.0,251.0,1496.0,0.0,15.0,0.0,19.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,12.129,-14.578,-0.19,0.402,0.374,-0.029,+36.1685854,-086.8283325
47037013700,"Census Tract 137, Davidson County, Tennessee",6345.0,1223.0,4913.0,3.0,12.0,44.0,11.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,13.451,-15.208,-0.395,-0.291,-0.096,0.693,+36.1921561,-086.8077319
47037013800,"Census Tract 138, Davidson County, Tennessee",2099.0,152.0,1827.0,0.0,0.0,0.0,42.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,5.712,-10.781,0.0,-0.412,1.766,0.0,+36.1756519,-086.8148041
47037013900,"Census Tract 139, Davidson County, Tennessee",1617.0,192.0,1383.0,0.0,0.0,0.0,21.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,10.116,-10.274,-0.227,-0.511,0.278,0.0,+36.1757152,-086.8056202
47037014200,"Census Tract 142, Davidson County, Tennessee",2024.0,375.0,1457.0,4.0,77.0,0.0,33.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,14.315,-20.753,-0.116,2.549,0.465,0.0,+36.1669323,-086.8036511
47037014300,"Census Tract 143, Davidson County, Tennessee",1860.0,271.0,1425.0,0.0,25.0,0.0,118.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,13.029,-20.562,-0.154,0.882,5.676,0.0,+36.1612491,-086.8156431
47037014400,"Census Tract 144, Davidson County, Tennessee",2111.0,528.0,1381.0,5.0,53.0,0.0,76.0,"Nashville-Davidson metropolitan government (balance), Tennessee",True,12.202,-18.659,0.147,1.609,1.615,0.0,+36.1576609,-086.8057378
47037014800,"Census Tract 148, Davidson County, Tennessee",3310.0,0.0,3016.0,0.0,0.0,61.0,233.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-2.36,-3.449,-0.155,-0.528,5.114,1.626,+36.1510966,-086.7597079
47037015100,"Census Tract 151, Davidson County, Tennessee",3827.0,3338.0,202.0,0.0,77.0,4.0,88.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-0.915,-0.261,-0.76,0.59,-1.451,0.105,+36.1575723,-086.6772114
47037015200,"Census Tract 152, Davidson County, Tennessee",2637.0,1840.0,248.0,0.0,43.0,0.0,497.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-23.298,6.859,-1.086,0.658,16.863,0.0,+36.1729131,-086.6904639
47037015300,"Census Tract 153, Davidson County, Tennessee",6024.0,4335.0,1168.0,0.0,82.0,0.0,294.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-19.357,14.441,-0.548,-0.066,3.231,0.0,+36.2119439,-086.6890171
47037015401,"Census Tract 154.01, Davidson County, Tennessee",5829.0,4152.0,652.0,0.0,101.0,0.0,707.0,"Nashville-Davidson metropolitan government (balance), Tennessee",False,-15.564,3.864,-0.649,-0.393,9.472,0.0,+36.2226366,-086.6138045
